name,state,created_at,user,tags,run,data,network,_wandb,max_APE,_runtime,_timestamp,MAE,MSE,L2RE,_step
BH_1D_Glorot_Tanh,finished,2024-07-08T15:22:06,adavit,[],BioHeat_PINNs_date_time_20240708_152204,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'tanh', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'Glorot normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 2997},5.491167902946473e+39,2996.744866,1720455122.500379,1.0157408256882348e+38,0.005405380647287972,0.1845008097339547,0
BH_1D_Glorot_Sigmoid,finished,2024-07-08T16:13:11,adavit,[],BioHeat_PINNs_date_time_20240708_161308,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'Sigmoid', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'Glorot normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 3078},1.226230524480343e+37,3078.006668,1720458268.5968442,2.1293170651030752e+35,0.1582271711990853,0.9982186214078116,0
BH_1D_Glorot_Sin,finished,2024-07-08T17:05:07,adavit,[],BioHeat_PINNs_date_time_20240708_170505,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'sin', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'Glorot normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 3542},5.112801790237427e+39,3541.281644,1720461848.1931572,9.690765315270966e+37,0.004961567897933114,0.17676431914964397,0
BH_1D_Glorot_SoftPlus,finished,2024-07-08T18:17:45,adavit,[],BioHeat_PINNs_date_time_20240708_181742,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'Softplus', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'Glorot normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 5932},5.994578003883362e+39,5931.994481,1720468596.802076,9.946200099163332e+37,0.028652081714763293,0.42477918356220534,0
 BH_1D_Glorot_APTx,finished,2024-07-08T19:59:17,adavit,[],BioHeat_PINNs_date_time_20240708_195914,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'APTx', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'Glorot normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 3491},5.686217546463013e+39,3490.681345,1720472247.512755,9.590951393156568e+37,0.005523374992083612,0.18650367761100065,0
BH_1D_He_ReLU,finished,2024-07-08T21:03:08,adavit,[],BioHeat_PINNs_date_time_20240708_210304,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'ReLU', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'He normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 3706},7.009208202362062e+39,3705.919351,1720476293.247718,1.2144298230764551e+38,0.053343756297830294,0.5795980722730402,0
 BH_1D_He_ELU,finished,2024-07-09T05:15:26,adavit,[],BioHeat_PINNs_date_time_20240709_051523,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'ELU', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'He normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 4737},4.818949401378632e+39,4737.343825,1720506863.063916,1.0028458496674748e+38,0.007413111696408832,0.21606549018964252,0
 BH_1D_He_GELU,finished,2024-07-09T06:59:39,adavit,[],BioHeat_PINNs_date_time_20240709_065936,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'GELU', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'He normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 4459},6.581727266311646e+39,4459.429141,1720512837.4307833,1.3020242700689257e+38,0.00758294706023912,0.21852651878584867,0
BH_1D_He_SiLU,finished,2024-07-09T08:14:30,adavit,[],BioHeat_PINNs_date_time_20240709_081428,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'SiLU', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'He normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 4020},5.65919578075409e+39,4020.082722,1720516889.972242,1.1115466967823156e+38,0.005543015215884104,0.18683497174860655,0
BH_1D_He_Swish,finished,2024-07-09T09:22:40,adavit,[],BioHeat_PINNs_date_time_20240709_092237,"{'W': 2.3154600000000003, 'd': 0.03, 'h': 100, 'k': 5, 'L0': 0.05, 'Wb': 0.00222, 'cb': 3825, 'p0': 0, 'Tmax': 45, 'Tmin': 37, 'rhob': 1043, 'rhoc': 3820950, 'tauf': 1800, 'alpha': 1, 'steep': 20, 'tchange': 0.25}","{'LBFGS': False, 'backend': 'pytorch', 'activation': 'Swish', 'iterations': 3000, 'resampling': True, 'learning_rate': 0.001, 'initialization': 'He normal', 'num_dense_nodes': 50, 'num_dense_layers': 2, 'resampler_period': 100, 'output_injection_gain': 50, 'initial_weights_regularizer': True}",{'runtime': 4932},5.65919578075409e+39,4743.289913,1720521038.1337972,1.1115466967823156e+38,0.005543015215884104,0.18683497174860655,0
