Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.656231 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [3.99e-01, 1.76e+02, 5.96e-02]    [2.77e-01, 1.76e+02, 5.96e-02]    []

Best model at step 0:
  train loss: 1.77e+02
  test loss: 1.77e+02
  test metric: []

'train' took 2.574109 s

Compiling model...
'compile' took 0.001464 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [3.00e+00, 3.00e+00, 3.00e+00]    [2.09e+00, 3.00e+00, 3.00e+00]    []
100       [1.75e+00, 1.69e+00, 2.78e+00]    [1.10e+00, 1.69e+00, 2.78e+00]    []
200       [7.97e-01, 7.91e-01, 1.36e+00]    [4.40e-01, 7.91e-01, 1.36e+00]    []
300       [4.95e-01, 4.69e-01, 5.31e-01]    [2.49e-01, 4.69e-01, 5.31e-01]    []
400       [4.68e-01, 3.52e-01, 3.28e-01]    [2.44e-01, 3.52e-01, 3.28e-01]    []
500       [3.45e-01, 2.96e-01, 2.46e-01]    [1.86e-01, 2.96e-01, 2.46e-01]    []
600       [2.42e-01, 2.26e-01, 1.91e-01]    [1.18e-01, 2.26e-01, 1.91e-01]    []
700       [2.18e-01, 1.78e-01, 1.44e-01]    [9.99e-02, 1.78e-01, 1.44e-01]    []
800       [2.01e-01, 1.52e-01, 1.09e-01]    [9.50e-02, 1.52e-01, 1.09e-01]    []
900       [1.87e-01, 1.41e-01, 8.86e-02]    [8.99e-02, 1.41e-01, 8.86e-02]    []
1000      [1.78e-01, 1.30e-01, 8.08e-02]    [8.47e-02, 1.30e-01, 8.08e-02]    []
1100      [1.66e-01, 1.22e-01, 7.46e-02]    [8.21e-02, 1.22e-01, 7.46e-02]    []
1200      [1.74e-01, 1.33e-01, 7.23e-02]    [1.13e-01, 1.33e-01, 7.23e-02]    []
1300      [1.36e-01, 1.06e-01, 6.67e-02]    [6.41e-02, 1.06e-01, 6.67e-02]    []
1400      [1.26e-01, 9.77e-02, 6.33e-02]    [5.47e-02, 9.77e-02, 6.33e-02]    []
1500      [1.10e-01, 9.22e-02, 5.73e-02]    [4.67e-02, 9.22e-02, 5.73e-02]    []
1600      [1.03e-01, 8.82e-02, 5.42e-02]    [4.14e-02, 8.82e-02, 5.42e-02]    []
1700      [9.44e-02, 8.53e-02, 5.01e-02]    [3.86e-02, 8.53e-02, 5.01e-02]    []
1800      [8.94e-02, 8.25e-02, 4.86e-02]    [3.76e-02, 8.25e-02, 4.86e-02]    []
1900      [8.38e-02, 8.02e-02, 4.66e-02]    [3.55e-02, 8.02e-02, 4.66e-02]    []
2000      [8.10e-02, 7.90e-02, 4.61e-02]    [3.49e-02, 7.90e-02, 4.61e-02]    []
2100      [1.10e-01, 9.46e-02, 4.85e-02]    [4.61e-02, 9.46e-02, 4.85e-02]    []
2200      [7.21e-02, 7.45e-02, 4.58e-02]    [3.14e-02, 7.45e-02, 4.58e-02]    []
2300      [6.76e-02, 7.30e-02, 4.52e-02]    [2.98e-02, 7.30e-02, 4.52e-02]    []
2400      [6.14e-02, 7.08e-02, 4.47e-02]    [2.80e-02, 7.08e-02, 4.47e-02]    []
2500      [5.78e-02, 6.86e-02, 4.46e-02]    [2.66e-02, 6.86e-02, 4.46e-02]    []
2600      [5.64e-02, 6.74e-02, 4.47e-02]    [2.27e-02, 6.74e-02, 4.47e-02]    []
2700      [4.97e-02, 6.44e-02, 4.40e-02]    [2.28e-02, 6.44e-02, 4.40e-02]    []
2800      [4.50e-02, 6.22e-02, 4.39e-02]    [2.10e-02, 6.22e-02, 4.39e-02]    []
2900      [4.33e-02, 5.98e-02, 4.40e-02]    [1.96e-02, 5.98e-02, 4.40e-02]    []
3000      [4.76e-02, 6.03e-02, 4.50e-02]    [2.02e-02, 6.03e-02, 4.50e-02]    []
3100      [3.82e-02, 5.60e-02, 4.38e-02]    [1.69e-02, 5.60e-02, 4.38e-02]    []
3200      [3.72e-02, 5.45e-02, 4.38e-02]    [1.56e-02, 5.45e-02, 4.38e-02]    []
3300      [3.52e-02, 5.30e-02, 4.38e-02]    [1.50e-02, 5.30e-02, 4.38e-02]    []
3400      [3.43e-02, 5.17e-02, 4.39e-02]    [1.46e-02, 5.17e-02, 4.39e-02]    []
3500      [3.33e-02, 5.08e-02, 4.37e-02]    [1.41e-02, 5.08e-02, 4.37e-02]    []
3600      [4.70e-02, 5.60e-02, 4.54e-02]    [2.20e-02, 5.60e-02, 4.54e-02]    []
3700      [3.18e-02, 4.90e-02, 4.36e-02]    [1.29e-02, 4.90e-02, 4.36e-02]    []
3800      [3.19e-02, 4.91e-02, 4.36e-02]    [1.46e-02, 4.91e-02, 4.36e-02]    []
3900      [3.07e-02, 4.78e-02, 4.33e-02]    [1.24e-02, 4.78e-02, 4.33e-02]    []
4000      [2.98e-02, 4.68e-02, 4.37e-02]    [1.20e-02, 4.68e-02, 4.37e-02]    []
4100      [2.98e-02, 4.69e-02, 4.33e-02]    [1.20e-02, 4.69e-02, 4.33e-02]    []
4200      [2.89e-02, 4.61e-02, 4.33e-02]    [1.16e-02, 4.61e-02, 4.33e-02]    []
4300      [5.29e-02, 6.00e-02, 4.52e-02]    [3.88e-02, 6.00e-02, 4.52e-02]    []
4400      [2.85e-02, 4.52e-02, 4.32e-02]    [1.13e-02, 4.52e-02, 4.32e-02]    []
4500      [2.86e-02, 4.47e-02, 4.33e-02]    [1.10e-02, 4.47e-02, 4.33e-02]    []
4600      [2.75e-02, 4.43e-02, 4.33e-02]    [1.08e-02, 4.43e-02, 4.33e-02]    []
4700      [2.66e-02, 4.39e-02, 4.30e-02]    [1.09e-02, 4.39e-02, 4.30e-02]    []
4800      [2.65e-02, 4.35e-02, 4.31e-02]    [1.07e-02, 4.35e-02, 4.31e-02]    []
4900      [2.66e-02, 4.32e-02, 4.28e-02]    [1.07e-02, 4.32e-02, 4.28e-02]    []
5000      [2.60e-02, 4.29e-02, 4.30e-02]    [1.03e-02, 4.29e-02, 4.30e-02]    []
5100      [4.71e-02, 5.52e-02, 4.44e-02]    [3.39e-02, 5.52e-02, 4.44e-02]    []
5200      [2.51e-02, 4.22e-02, 4.26e-02]    [1.03e-02, 4.22e-02, 4.26e-02]    []
5300      [2.50e-02, 4.19e-02, 4.26e-02]    [1.01e-02, 4.19e-02, 4.26e-02]    []
5400      [2.44e-02, 4.14e-02, 4.28e-02]    [9.73e-03, 4.14e-02, 4.28e-02]    []
5500      [2.46e-02, 4.14e-02, 4.23e-02]    [9.79e-03, 4.14e-02, 4.23e-02]    []
5600      [2.54e-02, 4.16e-02, 4.25e-02]    [1.04e-02, 4.16e-02, 4.25e-02]    []
5700      [2.39e-02, 4.05e-02, 4.24e-02]    [9.53e-03, 4.05e-02, 4.24e-02]    []
5800      [2.34e-02, 4.05e-02, 4.18e-02]    [9.43e-03, 4.05e-02, 4.18e-02]    []
5900      [2.36e-02, 4.01e-02, 4.20e-02]    [9.41e-03, 4.01e-02, 4.20e-02]    []
6000      [6.29e-02, 6.32e-02, 4.48e-02]    [4.99e-02, 6.32e-02, 4.48e-02]    []
6100      [2.26e-02, 3.96e-02, 4.16e-02]    [9.29e-03, 3.96e-02, 4.16e-02]    []
6200      [2.43e-02, 4.03e-02, 4.17e-02]    [1.12e-02, 4.03e-02, 4.17e-02]    []
6300      [2.26e-02, 3.88e-02, 4.17e-02]    [9.19e-03, 3.88e-02, 4.17e-02]    []
6400      [2.23e-02, 3.86e-02, 4.16e-02]    [8.91e-03, 3.86e-02, 4.16e-02]    []
6500      [2.17e-02, 3.83e-02, 4.17e-02]    [8.87e-03, 3.83e-02, 4.17e-02]    []
6600      [2.16e-02, 3.82e-02, 4.14e-02]    [8.75e-03, 3.82e-02, 4.14e-02]    []
6700      [2.12e-02, 3.79e-02, 4.12e-02]    [8.73e-03, 3.79e-02, 4.12e-02]    []
6800      [2.21e-02, 3.77e-02, 4.13e-02]    [8.58e-03, 3.77e-02, 4.13e-02]    []
6900      [6.02e-02, 5.77e-02, 4.51e-02]    [4.04e-02, 5.77e-02, 4.51e-02]    []
7000      [2.12e-02, 3.72e-02, 4.10e-02]    [8.48e-03, 3.72e-02, 4.10e-02]    []
7100      [2.22e-02, 3.78e-02, 4.10e-02]    [9.27e-03, 3.78e-02, 4.10e-02]    []
