Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.059942 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [4.92e+00, 4.80e+02, 1.81e-01]    [3.95e+00, 4.80e+02, 1.81e-01]    []

Best model at step 0:
  train loss: 4.85e+02
  test loss: 4.84e+02
  test metric: []

'train' took 3.037069 s

Compiling model...
'compile' took 0.001218 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [3.00e+00, 3.00e+00, 3.00e+00]    [2.41e+00, 3.00e+00, 3.00e+00]    []
100       [2.09e-01, 2.34e-01, 2.55e-01]    [1.33e-01, 2.34e-01, 2.55e-01]    []
200       [1.61e-01, 1.65e-01, 9.79e-02]    [1.01e-01, 1.65e-01, 9.79e-02]    []
300       [1.20e-01, 1.20e-01, 5.46e-02]    [6.85e-02, 1.20e-01, 5.46e-02]    []
400       [9.54e-02, 8.39e-02, 3.36e-02]    [5.44e-02, 8.39e-02, 3.36e-02]    []
500       [8.27e-02, 5.94e-02, 2.49e-02]    [4.93e-02, 5.94e-02, 2.49e-02]    []
600       [7.55e-02, 4.59e-02, 2.04e-02]    [4.54e-02, 4.59e-02, 2.04e-02]    []
700       [7.09e-02, 3.77e-02, 1.80e-02]    [4.57e-02, 3.77e-02, 1.80e-02]    []
800       [6.84e-02, 3.08e-02, 1.66e-02]    [4.32e-02, 3.08e-02, 1.66e-02]    []
900       [6.70e-02, 2.61e-02, 1.57e-02]    [4.03e-02, 2.61e-02, 1.57e-02]    []
1000      [6.24e-02, 2.31e-02, 1.53e-02]    [3.80e-02, 2.31e-02, 1.53e-02]    []
1100      [5.84e-02, 2.14e-02, 1.50e-02]    [3.56e-02, 2.14e-02, 1.50e-02]    []
1200      [5.53e-02, 1.91e-02, 1.49e-02]    [3.24e-02, 1.91e-02, 1.49e-02]    []
1300      [5.11e-02, 1.77e-02, 1.45e-02]    [3.07e-02, 1.77e-02, 1.45e-02]    []
1400      [4.77e-02, 1.77e-02, 1.45e-02]    [2.96e-02, 1.77e-02, 1.45e-02]    []
1500      [4.50e-02, 1.61e-02, 1.41e-02]    [2.74e-02, 1.61e-02, 1.41e-02]    []
1600      [4.13e-02, 1.54e-02, 1.37e-02]    [2.58e-02, 1.54e-02, 1.37e-02]    []
1700      [3.94e-02, 1.49e-02, 1.32e-02]    [2.45e-02, 1.49e-02, 1.32e-02]    []
1800      [3.69e-02, 1.40e-02, 1.28e-02]    [2.27e-02, 1.40e-02, 1.28e-02]    []
1900      [3.50e-02, 1.32e-02, 1.25e-02]    [2.12e-02, 1.32e-02, 1.25e-02]    []
2000      [3.36e-02, 1.29e-02, 1.19e-02]    [2.12e-02, 1.29e-02, 1.19e-02]    []
2100      [3.20e-02, 1.21e-02, 1.17e-02]    [2.02e-02, 1.21e-02, 1.17e-02]    []
2200      [3.14e-02, 1.17e-02, 1.14e-02]    [1.94e-02, 1.17e-02, 1.14e-02]    []
2300      [2.82e-02, 1.24e-02, 1.13e-02]    [1.96e-02, 1.24e-02, 1.13e-02]    []
2400      [2.65e-02, 1.04e-02, 1.09e-02]    [1.77e-02, 1.04e-02, 1.09e-02]    []
2500      [2.48e-02, 9.79e-03, 1.07e-02]    [1.66e-02, 9.79e-03, 1.07e-02]    []
2600      [2.41e-02, 9.21e-03, 1.05e-02]    [1.56e-02, 9.21e-03, 1.05e-02]    []
